hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,     classical index,     entropic index
Autruche -> Tigre, 29.0000000000000000, 28.0000000000000000, 38.6666666666666643, 37.9310344827586192, 45.3974058323499463, 39.7739869302776299
Tigre -> Autruche, 28.0000000000000000, 29.0000000000000000, 37.3333333333333357, 39.2857142857142847, 45.2661534110150541, 41.9538763455116950
Autruche -> Zebre, 29.0000000000000000, 26.0000000000000000, 38.6666666666666643, 34.4827586206896584, 43.4532831638594885, 35.5247058086101504
Zebre -> Autruche, 26.0000000000000000, 29.0000000000000000, 34.6666666666666714, 38.4615384615384670, 42.8746132349447677, 41.6591053545723966
Autruche -> Loup, 29.0000000000000000, 26.0000000000000000, 38.6666666666666643, 37.9310344827586192, 52.5649130659191073, 40.3444044323733451
Loup -> Autruche, 26.0000000000000000, 29.0000000000000000, 34.6666666666666714, 42.3076923076923066, 52.7954825381514397, 47.4545329721842606
Autruche -> Lynx, 29.0000000000000000, 26.0000000000000000, 38.6666666666666643, 44.8275862068965552, 70.3829274601965835, 51.1007994955021232
Lynx -> Autruche, 26.0000000000000000, 29.0000000000000000, 34.6666666666666714, 50.0000000000000000, 72.1126638219816130, 62.4206169975592999
Autruche -> Lapin, 29.0000000000000000, 25.0000000000000000, 38.6666666666666643, 48.2758620689655160, 80.6128647679588823, 57.8084354449733695
Lapin -> Autruche, 25.0000000000000000, 29.0000000000000000, 33.3333333333333286, 56.0000000000000071, 83.6371925522751383, 73.3915435322469136
Autruche -> Dauphin, 29.0000000000000000, 24.0000000000000000, 38.6666666666666643, 31.0344827586206904, 41.6049882859185090, 31.4952458639399424
Dauphin -> Autruche, 24.0000000000000000, 29.0000000000000000, 32.0000000000000000, 37.5000000000000000, 40.3253582822522461, 41.0909001463011876
Autruche -> Crocodile, 29.0000000000000000, 24.0000000000000000, 38.6666666666666643, 34.4827586206896584, 50.4709614432711220, 36.0368604745330288
Crocodile -> Autruche, 24.0000000000000000, 29.0000000000000000, 32.0000000000000000, 41.6666666666666714, 50.5418730072103841, 47.2125002267814153
Autruche -> Chat, 29.0000000000000000, 24.0000000000000000, 38.6666666666666643, 31.0344827586206904, 41.6049882859185090, 31.4952458639399424
Chat -> Autruche, 24.0000000000000000, 29.0000000000000000, 32.0000000000000000, 37.5000000000000000, 40.3253582822522461, 41.0909001463011876
Autruche -> Vison, 29.0000000000000000, 23.0000000000000000, 38.6666666666666643, 37.9310344827586192, 62.7531429111150914, 41.0437155514931504
Vison -> Autruche, 23.0000000000000000, 29.0000000000000000, 30.6666666666666643, 47.8260869565217419, 65.1958775677716602, 58.1344849678448696
Autruche -> Grenouille, 29.0000000000000000, 22.0000000000000000, 38.6666666666666643, 37.9310344827586192, 65.9129674014283040, 41.2438275683751456
Grenouille -> Autruche, 22.0000000000000000, 29.0000000000000000, 29.3333333333333321, 50.0000000000000000, 69.4924945877449858, 63.6997557184445498
Autruche -> Crotale, 29.0000000000000000, 22.0000000000000000, 38.6666666666666643, 31.0344827586206904, 48.4645192515608016, 31.9509792264186423
Crotale -> Autruche, 22.0000000000000000, 29.0000000000000000, 29.3333333333333321, 40.9090909090909136, 48.1026776599987400, 46.7322867558495858
Autruche -> Couleuvre, 29.0000000000000000, 22.0000000000000000, 38.6666666666666643, 34.4827586206896584, 57.2950312062352722, 36.4732009303879110
Couleuvre -> Autruche, 22.0000000000000000, 29.0000000000000000, 29.3333333333333321, 45.4545454545454533, 58.9967364072957707, 54.0289322405635062
Autruche -> Bouc, 29.0000000000000000, 22.0000000000000000, 38.6666666666666643, 34.4827586206896584, 57.2950312062352722, 36.4732009303879110
Bouc -> Autruche, 22.0000000000000000, 29.0000000000000000, 29.3333333333333321, 45.4545454545454533, 58.9967364072957707, 54.0289322405635062
Autruche -> Baleine, 29.0000000000000000, 22.0000000000000000, 38.6666666666666643, 20.6896551724137936, 24.6673335092637664, 19.5381972618822246
Baleine -> Autruche, 22.0000000000000000, 29.0000000000000000, 29.3333333333333321, 27.2727272727272698, 20.1923179682178429, 28.5140846279262270
Autruche -> Mouton, 29.0000000000000000, 21.0000000000000000, 38.6666666666666643, 37.9310344827586192, 68.9277198237886353, 41.4301887681667793
Mouton -> Autruche, 21.0000000000000000, 29.0000000000000000, 28.0000000000000036, 52.3809523809523867, 73.7871052606473796, 69.2539487919062537
Autruche -> Ours, 29.0000000000000000, 21.0000000000000000, 38.6666666666666643, 13.7931034482758612, 15.5709986886734768, 12.3147265996606006
Ours -> Autruche, 21.0000000000000000, 29.0000000000000000, 28.0000000000000036, 19.0476190476190474, 10.3060255199847397, 19.2739215041385172
Autruche -> Canard, 29.0000000000000000, 21.0000000000000000, 38.6666666666666643, 31.0344827586206904, 51.8591599316596472, 32.1531908283509438
Canard -> Autruche, 21.0000000000000000, 29.0000000000000000, 28.0000000000000036, 42.8571428571428541, 52.3643671680669627, 50.0322334381309233
Autruche -> Requin, 29.0000000000000000, 21.0000000000000000, 38.6666666666666643, 31.0344827586206904, 51.8591599316596472, 32.1531908283509438
Requin -> Autruche, 21.0000000000000000, 29.0000000000000000, 28.0000000000000036, 42.8571428571428541, 52.3643671680669627, 50.0322334381309233
Autruche -> Taureau, 29.0000000000000000, 20.0000000000000000, 38.6666666666666643, 41.3793103448275872, 78.9681502454512128, 46.6798116086209802
Taureau -> Autruche, 20.0000000000000000, 29.0000000000000000, 26.6666666666666679, 60.0000000000000000, 86.1680388415451546, 78.9350378338674119
Autruche -> Pieuvre, 29.0000000000000000, 20.0000000000000000, 38.6666666666666643, 34.4827586206896584, 63.7470968813775443, 36.8492855921927998
Pieuvre -> Autruche, 20.0000000000000000, 29.0000000000000000, 26.6666666666666679, 50.0000000000000000, 68.0093032146182281, 64.2363020430895943
Autruche -> Mygale, 29.0000000000000000, 19.0000000000000000, 38.6666666666666643, 41.3793103448275872, 81.2277462038530444, 46.8351844506287804
Mygale -> Autruche, 19.0000000000000000, 29.0000000000000000, 25.3333333333333357, 63.1578947368421026, 89.4220721289510578, 81.8399342716199669
Autruche -> Poule, 29.0000000000000000, 19.0000000000000000, 38.6666666666666643, 34.4827586206896584, 66.7891801000585588, 37.0184283560226532
Poule -> Autruche, 19.0000000000000000, 29.0000000000000000, 25.3333333333333357, 52.6315789473684177, 72.6011378888735379, 70.1616012160820333
Autruche -> Pigeon, 29.0000000000000000, 19.0000000000000000, 38.6666666666666643, 37.9310344827586192, 74.4796462701347224, 41.7667798679485145
Pigeon -> Autruche, 19.0000000000000000, 29.0000000000000000, 25.3333333333333357, 57.8947368421052673, 82.0920975569353573, 77.0166256088326833
Autruche -> Lion, 29.0000000000000000, 19.0000000000000000, 38.6666666666666643, 31.0344827586206904, 58.4629687265894233, 32.5152690823274924
Lion -> Autruche, 19.0000000000000000, 29.0000000000000000, 25.3333333333333357, 47.3684210526315752, 61.5410062223588312, 58.3255355314688089
Autruche -> Chien, 29.0000000000000000, 19.0000000000000000, 38.6666666666666643, 31.0344827586206904, 58.4629687265894233, 32.5152690823274924
Chien -> Autruche, 19.0000000000000000, 29.0000000000000000, 25.3333333333333357, 47.3684210526315752, 61.5410062223588312, 58.3255355314688089
Autruche -> Chamois, 29.0000000000000000, 19.0000000000000000, 38.6666666666666643, 24.1379310344827580, 41.4277533177727193, 24.0912659096408177
Chamois -> Autruche, 19.0000000000000000, 29.0000000000000000, 25.3333333333333357, 36.8421052631578902, 38.4454254738456171, 41.7699983172992546
Autruche -> Singe, 29.0000000000000000, 18.0000000000000000, 38.6666666666666643, 24.1379310344827580, 44.7014075586898301, 24.2581444685229606
Singe -> Autruche, 18.0000000000000000, 29.0000000000000000, 24.0000000000000000, 38.8888888888888928, 42.5508243939396777, 44.8955257042718898
Autruche -> Guepe, 29.0000000000000000, 18.0000000000000000, 38.6666666666666643, 24.1379310344827580, 44.7014075586898301, 24.2581444685229606
Guepe -> Autruche, 18.0000000000000000, 29.0000000000000000, 24.0000000000000000, 38.8888888888888928, 42.5508243939396777, 44.8955257042718898
Autruche -> Renard, 29.0000000000000000, 18.0000000000000000, 38.6666666666666643, 34.4827586206896584, 69.6906095625513728, 37.1765578924879136
Renard -> Autruche, 18.0000000000000000, 29.0000000000000000, 24.0000000000000000, 55.5555555555555571, 77.1547245883987785, 74.5280104592669090
Autruche -> Vautour, 29.0000000000000000, 18.0000000000000000, 38.6666666666666643, 34.4827586206896584, 69.6906095625513728, 37.1765578924879136
Vautour -> Autruche, 18.0000000000000000, 29.0000000000000000, 24.0000000000000000, 55.5555555555555571, 77.1547245883987785, 74.5280104592669090
Autruche -> Aigle, 29.0000000000000000, 18.0000000000000000, 38.6666666666666643, 31.0344827586206904, 61.6320614052285407, 32.6779620056012519
Aigle -> Autruche, 18.0000000000000000, 29.0000000000000000, 24.0000000000000000, 50.0000000000000000, 66.3814545098343700, 64.7107097782742500
Autruche -> Tortue, 29.0000000000000000, 18.0000000000000000, 38.6666666666666643, 24.1379310344827580, 44.7014075586898301, 24.2581444685229606
Tortue -> Autruche, 18.0000000000000000, 29.0000000000000000, 24.0000000000000000, 38.8888888888888928, 42.5508243939396777, 44.8955257042718898
Autruche -> Corbeau, 29.0000000000000000, 17.0000000000000000, 38.6666666666666643, 34.4827586206896584, 72.4414686921360982, 37.3246788407937089
Corbeau -> Autruche, 17.0000000000000000, 29.0000000000000000, 22.6666666666666643, 58.8235294117647101, 81.5782556849339073, 78.3269032011872071
Autruche -> Rat, 29.0000000000000000, 16.0000000000000000, 38.6666666666666643, 37.9310344827586192, 81.5327334780844240, 42.1966881480522602
Rat -> Autruche, 16.0000000000000000, 29.0000000000000000, 21.3333333333333357, 68.7500000000000000, 92.5513978872506016, 86.0269873275221215
Autruche -> Vache, 29.0000000000000000, 16.0000000000000000, 38.6666666666666643, 20.6896551724137936, 42.9382234219837571, 20.5906781399428880
Vache -> Autruche, 16.0000000000000000, 29.0000000000000000, 21.3333333333333357, 37.5000000000000000, 39.3620059802213262, 43.3980550162385015
