hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
ThGraph1 -> SD1, 112.0000000000000000, 112.0000000000000000, 60.5405405405405470, 62.5000000000000000, 59.1442969810170420, 46.9039349527283700, 60.5078756809234620, 0.0000000000000000
SD1 -> ThGraph1, 112.0000000000000000, 112.0000000000000000, 60.5405405405405470, 62.5000000000000000, 59.1442969810170420, 46.9039349527283700, 60.5078756809234620, 0.0000000000000000
ThGraph1 -> ProgLog2, 112.0000000000000000, 104.0000000000000000, 60.5405405405405470, 61.6071428571428610, 78.2924373632721000, 53.1165886373901590, 77.6648998260498050, 0.0000000000000000
ProgLog2 -> ThGraph1, 104.0000000000000000, 112.0000000000000000, 56.2162162162162180, 66.3461538461538400, 80.4653658717340360, 66.0342833035350200, 77.6648998260498050, 0.0000000000000000
ThGraph1 -> SE3, 112.0000000000000000, 100.0000000000000000, 60.5405405405405470, 58.0357142857142920, 70.3906256763907270, 47.7785877649334840, 71.6724336147308350, 0.0000000000000000
SE3 -> ThGraph1, 100.0000000000000000, 112.0000000000000000, 54.0540540540540560, 65.0000000000000000, 73.0471571720158720, 65.3739378799281500, 71.6724336147308350, 0.0000000000000000
ThGraph1 -> IHM1, 112.0000000000000000, 100.0000000000000000, 60.5405405405405470, 52.6785714285714310, 41.4979755878448490, 35.4756083001254440, 42.1525269746780400, 0.0000000000000000
IHM1 -> ThGraph1, 100.0000000000000000, 112.0000000000000000, 54.0540540540540560, 59.0000000000000000, 36.3739063458966430, 47.1097062545439230, 42.1525269746780400, 0.0000000000000000
ThGraph1 -> Reseaux1, 112.0000000000000000, 99.0000000000000000, 60.5405405405405470, 51.7857142857142920, 39.4277453422546390, 34.2684938938858470, 40.1309192180633540, 0.0000000000000000
Reseaux1 -> ThGraph1, 99.0000000000000000, 112.0000000000000000, 53.5135135135135090, 58.5858585858585880, 34.0120410279911880, 46.8799597745084070, 40.1309192180633540, 0.0000000000000000
ThGraph1 -> Compil3, 112.0000000000000000, 94.0000000000000000, 60.5405405405405470, 53.5714285714285690, 66.1500841379165650, 42.2216787832904790, 65.9046232700347900, 0.0000000000000000
Compil3 -> ThGraph1, 94.0000000000000000, 112.0000000000000000, 50.8108108108108140, 63.8297872340425560, 65.6486412140701250, 66.7321168539193790, 65.9046232700347900, 0.0000000000000000
ThGraph1 -> Projet3, 112.0000000000000000, 93.0000000000000000, 60.5405405405405470, 49.1071428571428540, 43.0715322494506840, 31.8436702474866880, 43.1085050106048580, 0.0000000000000000
Projet3 -> ThGraph1, 93.0000000000000000, 112.0000000000000000, 50.2702702702702670, 59.1397849462365600, 37.3510520037987770, 53.4764392536541490, 43.1085050106048580, 0.0000000000000000
ThGraph1 -> Reseaux3, 112.0000000000000000, 79.0000000000000000, 60.5405405405405470, 47.3214285714285690, 74.0779280662536620, 36.1709174990673010, 77.2771000862121580, 0.0000000000000000
Reseaux3 -> ThGraph1, 79.0000000000000000, 112.0000000000000000, 42.7027027027027020, 67.0886075949367180, 79.6308210156661570, 78.3417972970005540, 77.2771000862121580, 0.0000000000000000
ThGraph1 -> Crypto1, 112.0000000000000000, 79.0000000000000000, 60.5405405405405470, 48.2142857142857150, 77.9522404074668880, 38.2867323181130530, 81.3964784145355220, 0.0000000000000000
